epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,555.713,0.29666,0.33769,0.95246,0.8627,0.91432,0.92761,0.76506,0.62956,0.49918,1.21267,0.000313729,0.000313729,0.000313729
84,672.696,0.29229,0.31795,0.95223,0.87952,0.90178,0.91122,0.7499,0.61312,0.52062,1.19403,0.000297226,0.000297226,0.000297226
85,789.097,0.28648,0.32339,0.94783,0.87983,0.90614,0.92546,0.77471,0.60119,0.49209,1.19647,0.000280723,0.000280723,0.000280723
86,906.008,0.2874,0.31703,0.94994,0.85004,0.91383,0.9142,0.75488,0.61044,0.54961,1.19955,0.00026422,0.00026422,0.00026422
87,1023.6,0.28543,0.32683,0.95137,0.87093,0.91898,0.92219,0.7693,0.59185,0.50596,1.17278,0.000247716,0.000247716,0.000247716
88,1142.97,0.28711,0.35046,0.95696,0.91736,0.86491,0.93373,0.77764,0.60174,0.49509,1.18564,0.000231213,0.000231213,0.000231213
89,1259.45,0.2814,0.30204,0.9452,0.87751,0.90654,0.92946,0.77787,0.60058,0.49654,1.18884,0.00021471,0.00021471,0.00021471
90,1376.64,0.27691,0.30687,0.94665,0.87111,0.90266,0.92501,0.76557,0.60189,0.51303,1.18035,0.000198206,0.000198206,0.000198206
91,1496.6,0.22614,0.21199,0.89925,0.87912,0.87982,0.91337,0.77047,0.59842,0.5244,1.20244,0.000181703,0.000181703,0.000181703
92,1610.37,0.22724,0.20069,0.89899,0.8782,0.88952,0.91048,0.76478,0.60348,0.52847,1.2161,0.0001652,0.0001652,0.0001652
93,1723.17,0.21819,0.19281,0.892,0.88674,0.89128,0.91864,0.77035,0.60752,0.51426,1.20866,0.000148696,0.000148696,0.000148696
94,1835.47,0.21023,0.2333,0.88361,0.86889,0.92064,0.91464,0.76618,0.60151,0.52456,1.19556,0.000132193,0.000132193,0.000132193
95,1947.89,0.21389,0.17951,0.89015,0.86865,0.91316,0.91349,0.76651,0.60044,0.5151,1.19202,0.00011569,0.00011569,0.00011569
96,2059.56,0.2135,0.19427,0.88844,0.86973,0.9154,0.92247,0.77496,0.60157,0.50444,1.20052,9.91865e-05,9.91865e-05,9.91865e-05
97,2171.5,0.20641,0.19721,0.8876,0.87704,0.89823,0.92139,0.76795,0.60368,0.52014,1.19084,8.26832e-05,8.26832e-05,8.26832e-05
98,2284.96,0.20177,0.20066,0.8824,0.88486,0.89899,0.91791,0.76752,0.60155,0.51196,1.19262,6.61799e-05,6.61799e-05,6.61799e-05
99,2396.06,0.19834,0.15502,0.87529,0.89109,0.89228,0.9219,0.76874,0.60552,0.51633,1.19823,4.96766e-05,4.96766e-05,4.96766e-05
100,2507.95,0.20467,0.15553,0.88328,0.8571,0.92258,0.9159,0.76786,0.60418,0.50487,1.20025,3.31733e-05,3.31733e-05,3.31733e-05
